state;city;postal_code;open_p50;open_p95;close_p50;close_p95
ON;Woodbridge;L4L 4Y5;208800;258480;396000;426240
IL;Champaign;61822;248400;508004;356400;465223
AZ;Mesa;85213;180000;367312;424800;469530
QC;Montréal;H2L 3L2;244800;270900;360000;464850
AZ;Scottsdale;85257;264600;440504;340200;500580
QC;Montréal;H4C 1S5;201600;301050;403200;459000
ON;Toronto;M4W 1A7;235800;548100;369000;491850
AZ;Chandler;85224;226800;520559;378000;499882
QC;Montréal;H2L 1E3;241200;241200;363600;363600
NV;Las Vegas;89102;216000;483299;388800;572373
OH;Rocky River;44116;212400;379080;392400;486945
QC;Montréal;H3B 2T6;396000;439739;208800;421559
ON;Milton;L9T 0J9;342000;374400;262800;321120
AZ;Tempe;85281;207000;514259;397800;499501
AZ;Scottsdale;85251;259200;446146;345600;464120
AZ;Scottsdale;85255;257400;486629;347400;513326
ON;Toronto;M6G;225000;604800;379800;454050
NV;Las Vegas;89104;216900;540630;387900;563764
OH;Parma;44134;302400;519119;302400;421129
NC;Charlotte;28273;248400;586080;356400;470520
AZ;Phoenix;85016;237600;540000;367200;472893
AZ;Chandler;85286;244800;452609;360000;460663
AZ;Phoenix;85053;223200;476999;381600;446196
OH;Fairview Park;44126;261000;437208;343800;445518
PA;Avalon;15202;309480;408240;295320;481680
NV;Las Vegas;89139;266400;540000;338400;462150
AZ;Phoenix;85048;180000;375012;424800;491540
ON;East York;M4G 4E8;505800;594900;99000;188100
AZ;Tempe;85283;176400;494093;428400;464621
AZ;Phoenix;85086;262800;573300;342000;450000
AZ;Scottsdale;85258;199800;399974;405000;484559
QC;Montréal;H2T 2N4;196200;304379;408600;486180
NV;Henderson;89014;255600;529200;349200;474930
AB;Calgary;T3E 5R7;234000;310320;370800;434340
ON;Toronto;M3H 3P7;144000;144000;460800;460800
ON;Toronto;M4C 1J6;221400;286200;383400;439200
AZ;Scottsdale;85250;301500;422775;303300;472884
NC;Charlotte;28217;238500;454184;366300;451890
AZ;Chandler;85225;203400;371796;401400;478800
ON;Toronto;M6G 1K1;288900;406440;315900;482939
NV;Las Vegas;89103;187200;604800;417600;483885
WI;Cottage Grove;53527;306000;554175;298800;444487
ON;Toronto;M4S 2B2;286200;286200;318600;318600
NV;Las Vegas;89144;201600;544635;403200;543933
AZ;Phoenix;85022;228600;563040;376200;443710
PA;Gibsonia;15044;207000;565020;397800;508331
ON;Toronto;M4E 1S3;144000;309240;460800;483480
ON;Mississauga;L4Y 2A6;324000;401760;280800;430649
ON;Brampton;L6X 4R9;171000;171000;433800;433800
OH;Cleveland;44135;352800;483300;252000;455130
ON;Toronto;M6G 1A5;151200;323999;453600;501120
SC;Fort Mill;29715;261000;479925;343800;523483
ON;Mississauga;L4W 2V3;68400;68400;536400;536400
AZ;Glendale;85304;194400;349458;410400;504360
AB;Calgary;T2S 1X2;234000;334799;370800;406800
NV;Las Vegas;89074;194400;250200;410400;487800
AZ;Goodyear;85338;237600;490500;367200;502232
WI;Madison;53705;252000;500400;352800;466650
QC;Montréal;H2Z 0A6;510300;595350;94500;179550
OH;Westlake;44145;273600;417327;331200;470790
ON;Toronto;M9W 1H7;299700;562409;305100;342900
NV;Las Vegas;89120;188100;442439;416700;505474
ON;Toronto;M6G 1A6;277200;342360;327600;454320
AZ;Mesa;85204;239400;454190;365400;461115
NV;North Las Vegas;89032;216000;565920;388800;470340
NC;Gastonia;28056;302400;382950;302400;495000
NV;Las Vegas;89123;280800;500399;324000;451440
AZ;Chandler;85249;212400;570779;392400;532054
PA;Carnegie;15106;230400;604800;374400;502832
AZ;Phoenix;85001;455400;604800;149400;502607
NV;Las Vegas;89130;216900;443069;387900;483232
NV;Las Vegas;89147;219600;525330;385200;469777
ON;Toronto;M2N 5S1;324900;560700;279900;359775
PA;Pittsburgh;15234;185400;386010;419400;473760
ON;Whitby;L1N 2N3;174600;190170;430200;456480
ON;Vaughan;L4K 4A5;237600;257040;367200;386640
NV;Las Vegas;89178;224100;522900;380700;449333
AZ;Goodyear;85395;237600;547289;367200;463459
QC;Montréal;H2S 2L5;165600;165600;439200;439200
QC;Montréal;H3K 1J8;248400;262980;356400;405000
ON;Toronto;M5T 1H1;277200;342359;327600;416880
AZ;Phoenix;85014;178200;337440;426600;473250
AB;Calgary;T2H 2E6;201600;201600;403200;422640
ON;Toronto;M1L 4C2;277200;286920;327600;386280
PA;Pittsburgh;15205;302400;604800;302400;446422
ON;Etobicoke;M9C 4R1;241200;241200;363600;363600
QC;Montréal;H2W 2Y8;184500;233910;420300;469710
OH;Streetsboro;44241;277200;514079;327600;459961
OH;Cleveland;44115;269100;430477;335700;550916
NV;Las Vegas;89108;237600;561600;367200;547200
ON;Toronto;M2J 2K8;225900;247770;378900;400770
NV;Las Vegas;89121;216000;513000;388800;452165
ON;Markham;L3R 6E3;333900;350910;270900;287910
OH;Lakewood;44107;284400;384862;320400;513719
OH;Garfield Heights;44128;201600;564480;403200;403200
PA;Pittsburgh;15216;207900;582300;396900;467633
NV;Las Vegas;89146;163800;432874;441000;478440
ON;Toronto;M5T 1S2;252000;399960;352800;458640
NV;Las Vegas;89117;230400;484565;374400;492255
SC;Rock Hill;29732;261000;432922;343800;475638
WI;Madison;53716;189000;582660;415800;478930
OH;Cleveland;44119;223200;331920;381600;448920
OH;North Olmsted;44070;235800;487911;369000;496259
ON;Toronto;M4M 1H4;174600;278864;430200;518220
ON;Toronto;M5T 2E9;241200;369900;363600;408600
NC;Charlotte;28207;176400;359909;428400;480967
QC;Westmount;H3Z 1C3;306000;364320;298800;357120
AZ;Chandler;85248;248400;546940;356400;443160
ON;Vaughan;L4J 8M5;201600;214560;403200;416160
WI;Madison;53717;224100;495679;380700;475613
NC;Charlotte;28203;216000;372375;388800;523350
AZ;Fountain Hills;85268;162000;439919;442800;520289
OH;Parma Heights;44130;208800;375097;396000;485667
AZ;Phoenix;85018;201600;465046;403200;461981
NV;Las Vegas;89145;234000;352181;370800;496940
AZ;Tempe;85284;181800;520137;423000;532575
NV;Las Vegas;89129;223200;556199;381600;451877
NV;Henderson;89015;190800;570780;414000;515709
OH;Cleveland;44102;302400;604800;302400;507037
NC;Charlotte;28204;147600;388889;457200;535590
ON;Scarborough;M1S 5H9;225000;226620;379800;381420
WI;Madison;53703;169200;467971;435600;504791
AZ;Phoenix;85035;244800;604800;360000;459000
ON;Mississauga;L4W 3Z4;522900;596610;81900;155610
AZ;Phoenix;85085;230400;370910;374400;461463
ON;Toronto;M2N 7K1;279000;303300;325800;350100
ON;Toronto;M5R 2J1;147600;183239;457200;486360
AZ;Glendale;85308;216000;575280;388800;459360
AZ;Phoenix;85029;187200;403402;417600;462060
AZ;Phoenix;85031;257400;560700;347400;544540
AB;Calgary;T2R 1P6;217800;379440;387000;475200
AZ;Phoenix;85004;223200;498690;381600;524160
AZ;Surprise;85388;201600;401400;403200;550169
ON;Toronto;M5V;174600;551227;430200;532125
ON;Toronto;M4N 2N3;200700;271530;404100;467279
WI;Madison;53711;273600;588735;331200;469237
NC;Matthews;28105;230400;428759;374400;455132
NV;Las Vegas;89122;252000;604800;352800;448717
AZ;Phoenix;85050;223200;419579;381600;442733
QC;Montréal;H2J 2J8;147600;270720;457200;509040
NV;Las Vegas;89119;277200;589680;327600;527188
NC;Charlotte;28211;234000;366539;370800;454113
AZ;Mesa;85120;205200;234360;399600;422280
NV;Las Vegas;89169;342000;604800;262800;435600
ON;Aurora;L4G 7Z9;297000;405000;307800;400050
AZ;Glendale;85303;268200;439739;336600;434205
AZ;Phoenix;85023;228600;553500;376200;552600
ON;Toronto;M6N 1M2;180000;180000;424800;424800
IL;Urbana;61802;237600;604800;367200;465480
AB;Calgary;T2N 1V3;207000;379530;397800;435510
NV;Las Vegas;89134;201600;437760;403200;479876
OH;North Randall;44128;259200;570240;345600;446850
QC;Montréal;H2G 1V4;241200;241200;363600;363600
SC;Fort Mill;29708;208800;547920;396000;513300
PA;Pittsburgh;15239;212400;604800;392400;487968
AZ;Phoenix;85009;241200;595980;363600;449915
AZ;Avondale;85392;252000;349920;352800;450047
PA;Coraopolis;15108;291600;517795;313200;489240
ON;Richmond Hill;L4C 1V4;291600;497700;313200;390600
PA;Pittsburgh;15232;225000;432771;379800;489060
OH;Chardon;44024;192600;508679;412200;486011
AZ;Mesa;85210;212400;604800;392400;496040
NV;Las Vegas;89135;144000;462329;460800;512640
NC;Harrisburg;28075;269100;371501;335700;468787
QC;Montréal;H2Y 3B1;163800;277200;441000;554400
NV;Las Vegas;89148;228600;513168;376200;478800
NC;Charlotte;28205;205200;400972;399600;534586
AZ;Phoenix;85034;273600;604800;331200;472117
AZ;Phoenix;85013;199800;550659;405000;471915
ON;Scarborough;M1M 1P1;237600;273240;367200;435240
ON;Toronto;M6J 1X3;212400;450720;392400;462780
OH;Hudson;44236;215100;344171;389700;471813
AZ;Peoria;85382;199800;518580;405000;492558
AZ;Mesa;85203;221400;588802;383400;522575
PA;Wexford;15090;248400;497879;356400;506555
NV;Boulder City;89005;252000;536813;352800;505305
PA;McMurray;15317;259200;401850;345600;449070
NC;Concord;28026;432000;587520;172800;328320
QC;Montréal;H2J 1Z1;214200;280800;390600;419400
ON;Woodbridge;L4H 3G8;190800;281520;414000;504720
ON;Brampton;L6Y 4E7;255600;297720;349200;391320
ON;Toronto;M6S 2E2;176400;271080;428400;493560
ON;Richmond Hill;L4B 3Y7;192600;243900;412200;522990
OH;Parma;44129;252000;388912;352800;465637
WI;Monona;53713;198000;535679;406800;472320
OH;Medina;44256;223200;473399;381600;475289
ON;North York;M2H 1S8;288000;352799;316800;318420
AZ;Gilbert;85234;208800;401625;396000;474075
ON;Toronto;M6C 2Z1;129600;129600;475200;475200
IL;Champaign;61821;218700;532709;386100;469440
NV;Las Vegas;89158;334800;480780;270000;401399
ON;Toronto;M6G 1H8;167400;220860;437400;490860
ON;Toronto;M6R 2M8;222300;325800;382500;492750
WI;Stoughton;53589;216000;524700;388800;522000
QC;Montréal;H4A 1T2;232200;232200;372600;372600
ON;Toronto;M1W 2S8;277200;374400;327600;391680
WI;Oregon;53575;203400;443924;401400;475233
PA;Pittsburgh;15241;273600;576360;331200;498870
QC;Montréal;H2W 1Z4;190800;243000;414000;469440
WI;Madison;53715;376200;582119;228600;461968
NV;Henderson;89011;189900;527476;414900;465378
ON;Markham;L3R 0C6;216000;228960;388800;401760
NC;Charlotte;28216;237600;503206;367200;444952
OH;Chagrin Falls;44022;221400;329625;383400;496980
AB;Calgary;T2P 0H5;275400;547200;329400;412200
AZ;Phoenix;85051;231300;430379;373500;462150
ON;Etobicoke;M8X 1C4;216900;307800;387900;461250
QC;Saint-Laurent;H4R 1P8;293400;393389;311400;356129
ON;Richmond Hill;L4S 1M6;378000;378000;226800;226800
QC;Montréal;H2B 2H3;302400;302400;302400;302400
ON;Scarborough;M1T 2M2;230400;230400;374400;374400
NC;Charlotte;28269;219600;526319;385200;553885
ON;Vaughan;L6A 0V5;300600;300600;304200;304200
ON;Toronto;M4M 1J7;226800;275400;378000;423720
PA;Pittsburgh;15236;288000;420119;316800;484019
NC;Charlotte;28270;390600;587452;214200;458009
PA;Pittsburgh;15237;244800;521420;360000;433856
QC;Montréal;H2P 1T5;129600;129600;475200;475200
NC;Charlotte;28206;302400;565245;302400;517679
ON;Toronto;M6H 3Y2;216000;272520;388800;426960
AZ;Phoenix;85024;201600;571162;403200;480060
AZ;Glendale;85302;257400;411046;347400;455935
ON;Markham;L3R 4G9;201600;256320;403200;448560
ON;Mississauga;L5R 3K7;289800;320580;315000;345780
ON;Richmond Hill;L4B 1H6;277200;277200;327600;327600
ON;Toronto;M5B 1C6;255600;255600;349200;349200
ON;Toronto;M4M 2H1;244800;330120;360000;491039
AZ;Mesa;85202;189900;555659;414900;524570
AZ;Scottsdale;85259;248400;401346;356400;509940
NC;Huntersville;28078;277200;450208;327600;486865
ON;Toronto;M4J 1M2;279000;397800;325800;439200
OH;Elyria;44035;320400;604800;284400;466110
OH;Pepper Pike;44124;183600;324765;421200;506564
ON;Markham;L3P 1Z3;183600;186840;421200;424440
PA;Pittsburgh;15224;244800;422999;360000;479859
ON;North York;M2K 1C3;239400;286380;365400;405900
AZ;Peoria;85345;251100;555060;353700;519750
NV;Las Vegas;89149;234000;604800;370800;459323
AZ;Scottsdale;85253;223200;348988;381600;499083
NV;Las Vegas;89044;237600;604800;367200;556289
ON;Toronto;M6J 1J3;309600;538919;295200;419400
AB;Calgary;T2J 0P5;244800;385650;360000;447614
PA;Pittsburgh;15238;306900;592295;297900;449177
ON;Toronto;M5V 2A4;223200;382725;381600;444150
PA;Pittsburgh;15208;237600;411300;367200;471600
ON;Maple;L6A 3Y5;144000;144000;460800;460800
ON;Whtiby;L1N 0E4;208800;208800;396000;396000
ON;Toronto;M4K 1P9;230400;329400;374400;443880
AZ;Phoenix;85339;259200;545760;345600;576000
AB;Calgary;T2H 3B5;268200;356760;336600;413009
ON;Toronto;M5S 1W9;302400;551879;302400;423269
ON;Toronto;M2N 5X2;266400;369449;338400;392940
ON;Toronto;M6J 3N4;214200;251460;390600;427860
AB;Calgary;T2Y 3G4;180000;180000;424800;424800
QC;Montréal;H3G 2A9;396000;402480;208800;396719
ON;Toronto;M6K 0B9;205200;257040;399600;451440
AZ;Phoenix;85007;149400;366300;455400;551939
ON;Oakville;L6M 4L9;208800;208800;396000;396000
QC;Longueuil;J4H 3Y2;604800;604800;0;0
OH;Cleveland;44126;234000;587160;370800;512640
AB;Calgary;T2J 6T5;252000;544319;352800;415080
OH;Twinsburg;44087;145800;555480;459000;506787
AZ;Phoenix;85008;283500;590940;321300;561060
AZ;Phoenix;85042;237600;545838;367200;461440
OH;Beachwood;44122;243000;484745;361800;453431
AB;Calgary;T2C 4X6;208800;350279;396000;470160
ON;Toronto;M6G 1L2;217800;304200;387000;475200
ON;Brampton;L6T 5R4;192600;192600;412200;412200
QC;Montréal;H3X 1V3;284400;320040;320400;356040
NV;Las Vegas;89032;252000;512999;352800;479070
QC;Rosemere;J7A 2H4;225000;362700;379800;517500
AB;Calgary;T3G 2R2;221400;531719;383400;390960
NV;Las Vegas;89183;277200;352587;327600;475452
NC;Charlotte;28210;254700;548099;350100;454037
QC;Montréal;H2Z 1Y6;237600;273240;367200;456300
ON;Markham;L3R 0Y5;221400;248422;383400;434288
ON;Toronto;M5V 0K2;274500;276930;330300;332730
NV;Las Vegas;89115;282600;604800;322200;507944
ON;Toronto;M3B 3B5;302400;302400;302400;302400
AZ;Phoenix;85003;212400;527340;392400;554062
ON;Toronto;M5B 2H1;282600;333506;322200;360450
OH;Cleveland;44121;212400;377167;392400;480690
OH;Willoughby;44094;282600;589365;322200;466064
WI;Fitchburg;53719;262800;463438;342000;466458
WI;Black Earth;53515;223200;370619;381600;447659
AB;Calgary;T3C 3P8;291600;291600;313200;313200
ON;Toronto;M9C 5K5;604800;604800;0;349200
OH;Shaker Heights;44122;264600;377617;340200;467369
NV;Las Vegas;89141;264600;490094;340200;456480
WI;Waunakee;53597;268200;438120;336600;449965
AZ;Phoenix;85054;295200;357872;309600;467887
NV;Las Vegas;89156;347400;604800;257400;439560
NC;Gastonia;28052;401400;604800;203400;528923
OH;Willowick;44095;277200;406620;327600;495360
ON;Brampton;L6P 3E1;237600;237600;367200;367200
ON;Mississauga;L4X 1L7;268200;268200;336600;336600
QC;Montréal;H3B 5M2;318600;318600;286200;286200
AB;Calgary;T2S 1W9;185400;392850;419400;512370
QC;Montreal-Nord;H1H 2R3;352800;352800;252000;252000
ON;Toronto;M2N 5S3;226800;352799;378000;493919
QC;Laval;H7P 4W5;410400;410400;194400;194400
ON;Toronto;M4M 1H2;247500;415215;357300;489690
AZ;Mesa;85206;223200;412976;381600;467026
AB;Calgary;T2N 3E3;317700;566999;287100;473669
ON;Toronto;M4R 1K8;199800;283680;405000;450000
QC;Outremont;H2V 1K8;277200;277200;327600;327600
PA;McKees Rocks;15136;196200;517117;408600;470196
NC;Pineville;28134;230400;414865;374400;480600
NV;Henderson;89074;223200;386325;381600;507062
NV;Las Vegas;89113;253800;571387;351000;478340
ON;Vaughan;L4K 2T4;284400;284400;320400;320400
NV;North Las Vegas;89086;259200;591300;345600;479025
NC;Charlotte;28278;255600;389700;349200;524700
ON;North York;M3B 2M3;174600;179460;430200;435060
ON;Toronto;M6J 2Z7;202500;364499;402300;480195
QC;Montréal;H3G 2B1;280800;399960;324000;434159
WI;Madison;53713;189000;474359;415800;473927
ON;Mississauga;L5R 3E7;360000;538919;244800;299160
OH;Woodmere;44122;261000;415845;343800;463466
OH;Brunswick;44212;291600;405461;313200;448726
AZ;Phoenix;85021;162000;306967;442800;498328
ON;Toronto;M6A 2V1;259200;559440;345600;460800
OH;Cleveland;44131;181800;326880;423000;505080
AZ;Phoenix;85381;325800;327420;279000;280620
ON;Pickering;L1V 3N7;261000;351360;343800;415440
ON;Ajax;L1Z 1V9;226800;226800;378000;378000
ON;Toronto;M6G 1K7;301500;369179;303300;409949
NC;Matthews;28104;198000;494639;406800;474949
AZ;Glendale;85306;216000;398250;388800;504000
OH;Cleveland;44130;261000;430526;343800;495450
ON;Toronto;M5V 2B3;279000;452160;325800;423540
QC;Montréal;H2X 1K5;250200;309960;354600;539910
AB;Calgary;T2J 6Y5;604800;604800;0;0
ON;Mississauga;L5A 3Z1;311400;351900;293400;340379
OH;Cleveland;44106;255600;567000;349200;502199
OH;Chagrin Falls;44023;216000;423359;388800;509040
PA;Pittsburgh;15223;234000;381419;370800;522675
ON;Toronto;M2R 1M6;298800;347400;306000;354600
ON;Toronto;M6G 1C5;396000;583920;208800;340019
WI;Mc Farland;53558;345600;501840;259200;436320
ON;Bradford;L3Z 0A2;453600;453600;151200;151200
ON;Toronto;M9W 1N7;352800;352800;252000;252000
QC;Montréal;H2T 2S9;226800;262800;378000;433080
QC;Saint-Laurent;H4R 1K4;226800;375300;378000;447300
OH;Mentor On The Lake;44060;325800;394200;279000;382500
PA;Pittsburgh;15233;230400;564480;374400;519187
QC;Montréal;H2T 1R9;183600;354509;421200;499770
ON;Richmond Hill;L4S 0B2;217800;351270;387000;431460
ON;Toronto;L4L 4V9;183600;183600;421200;421200
QC;Boisbriand;J7H 0A2;349200;391320;255600;297720
NC;Davidson;28036;255600;383805;349200;459913
ON;Toronto;M6S 3Z3;241200;283680;363600;430380
ON;Toronto;M1P 2W9;182700;194850;422100;434250
QC;Montréal;H2R 2C5;158400;158400;446400;446400
PA;Pittsburgh;15220;349200;604800;255600;497587
ON;Brampton;L7A 1G2;194400;194400;410400;410400
AZ;Phoenix;85083;329400;416565;275400;461699
NV;Henderson;89123;277200;496259;327600;513944
WI;Madison;53719;220500;362119;384300;482535
ON;Mississauga;L5L 3T5;171000;171000;433800;433800
NC;Charlotte;28246;180000;331919;424800;474300
ON;Toronto;M6J 1Y6;172800;272520;432000;477720
ON;Brampton;L6W 0A6;313200;357120;291600;357840
ON;Mississauga;L5G 1C8;126000;346320;478800;503280
OH;Cleveland;44195;243000;604800;361800;455400
WI;Mount Horeb;53572;266400;590310;338400;482310
AB;Calgary;T2S 0B8;144000;144000;460800;460800
PA;Pittsburgh;15203;309600;563760;295200;470520
ON;Brampton;L6S;234000;310320;370800;425520
ON;Mississauga;L4X 1L8;264600;308340;340200;383940
PA;Pittsburg;15231;414000;449640;190800;226440
QC;Montréal;H2R 1S6;284400;284400;320400;320400
AZ;Cave Creek;85327;216000;235440;388800;437400
ON;Toronto;M6J 1G1;217800;329399;387000;443969
WI;De Forest;53532;338400;604800;266400;440100
ON;Thornhill;L4J 7Y1;176400;199080;428400;451080
OH;Avon;44011;241200;546479;363600;428827
AB;Calgary;T2W 3P5;216000;254880;388800;421200
ON;Toronto;M5A 0K6;180000;180000;424800;424800
WI;Madison;53714;221400;452340;383400;478501
NV;Las Vegas;89161;327600;327600;277200;385920
ON;Brampton;L6P 2R1;356400;579960;248400;335879
ON;Toronto;M6B 3S7;226800;291600;378000;530640
QC;Montréal;H2S 3R2;403200;403200;201600;201600
QC;Montréal;H2V 4E7;264600;366029;340200;451439
QC;Montréal;H2T 2K8;226800;371520;378000;431280
ON;Toronto;M5A 1L9;201600;201600;403200;403200
ON;Etobicoke;M9C 1B8;264600;307350;340200;366300
AZ;Laveen Village;85339;262800;433575;342000;495450
OH;Akron;44129;212400;212400;392400;392400
ON;Toronto;M3H 3M6;202050;242955;402750;443655
WI;Fitchburg;53713;234900;467280;369900;423900
NV;Henderson;89147;604800;604800;0;0
ON;Markham;L3P;273600;314820;331200;453779
ON;Toronto;M6H 4A9;264600;350280;340200;397080
AB;Calgary;T3C 0X9;171000;171000;433800;433800
ON;Mississauga;L5C 4E6;264600;378000;340200;374400
WI;Madison;53704;234000;604800;370800;492750
PA;Pittsburgh;15219;288000;604800;316800;468815
NV;Las Vegas;89110;284400;578339;320400;403099
QC;Chambly;J3L 2H6;108000;108000;496800;496800
AZ;Tolleson;85353;252000;604800;352800;440100
PA;Pittsburgh;15201;205200;380160;399600;506893
ON;Toronto;M6A 1S5;302400;302400;302400;302400
QC;Montréal;H2L 1A5;185400;290700;419400;469620
QC;Pierrefonds;H8Y 3C8;241200;241200;363600;363600
WI;Madison;53718;277200;567000;327600;492336
ON;Toronto;M8V 1M1;241200;241200;363600;363600
QC;Montréal;H4C 1H7;277200;277200;327600;327600
ON;Whitby;L1N 2M1;187200;224460;417600;417600
ON;Toronto;M4S 2N4;172800;331559;432000;448830
AZ;Phoenix;85233;126000;126000;478800;478800
AB;Calgary;T2R 0A5;286200;357840;318600;495720
ON;Mississauga;L4W 1E3;205200;542159;399600;411120
PA;Pittsburgh;15204;157500;425159;447300;508680
OH;Bedford;44146;221400;388365;383400;449235
ON;Markham;L3P 1B7;252000;308700;352800;369000
AZ;Central City Village;85034;365400;365400;239400;239400
QC;Longueuil;J4K 2V1;277200;293400;327600;343800
QC;Saint-Joseph-du-Lac;J0N 1M0;207900;213570;396900;402570
AZ;Phoenix;85044;268200;604800;336600;482143
AB;Rocky View;T4A 0G3;262800;298800;342000;348480
ON;Toronto;M4W 2L8;248400;333900;356400;430200
AZ;Phoenix;85017;302400;571555;302400;456907
WI;Verona;53593;234000;449279;370800;554400
NV;Las Vegas;89107;285300;604800;319500;471630
QC;Longueuil;J4V 2J1;279000;279000;325800;325800
ON;Richmond Hill;L4C 4M6;324000;324000;280800;280800
AB;Calgary;T2P 1B3;248400;485790;356400;450000
AZ;Phoenix;85028;247500;471759;357300;467311
AZ;Phoenix;85027;234000;517500;370800;496800
ON;Toronto;M3C 0G3;253800;253800;351000;351000
OH;South Euclid;44121;349200;454106;255600;457459
OH;Bedford Heights;44146;257400;466560;347400;475560
ON;Mississauga;L5M 6Y4;190800;190800;414000;414000
ON;Toronto;M4E 3S2;162000;162000;442800;442800
ON;Concord;L4K 2A1;201600;221040;403200;422640
IL;Urbana;61801;239400;590760;365400;493514
AZ;Surprise;85379;230400;457649;374400;506370
ON;Toronto;M9W 5Z3;324000;336960;280800;355319
AZ;​Gilbert;85297;133200;133200;471600;471600
ON;Toronto;M4Y 1Z8;226800;359280;378000;416160
PA;Canonsburg;15317;232200;604800;372600;473445
AB;Calgary;T2X 1Z5;172800;315359;432000;441720
ON;Markham;L3P 1B8;302400;365039;302400;346320
AB;Calgary;T2B 2X3;208800;208800;396000;396000
ON;Toronto;M6J 3X5;185400;196740;419400;430740
ON;Etobicoke;M8Z 1M8;238500;294840;366300;390510
OH;Stow;44224;255600;565397;349200;511199
ON;Toronto;M2H 1S8;345600;350460;259200;264060
NC;Charlotte;28227;277200;604800;327600;475200
NC;Concord;28025;171900;518174;432900;525600
ON;Vaughan;L6A 0Y6;198000;198000;406800;406800
NC;Charlotte;;198000;318960;406800;597600
AB;Airdrie;T4B 3S6;255600;268560;349200;362160
OH;Warrensville Heights;44128;266400;604800;338400;461700
WI;Brooklyn;53521;165600;300600;439200;578700
ON;Mississauga;L5V 3B7;300600;460979;304200;366660
QC;Montréal;H4A 1E4;216000;280170;388800;488700
ON;Brampton;L6S 4L6;302400;302400;302400;302400
AZ;Peoria;85385;216000;276480;388800;460800
QC;Montréal;H2W 1Y9;189000;200340;415800;427140
ON;Toronto;M4T 1Z6;261900;361440;342900;495539
QC;Montréal;H3A 1Y9;604800;604800;0;0
ON;Whitby;L1N 2M7;162000;162000;442800;442800
PA;Pittsburgh;15213;243000;432112;361800;483682
PA;Ben Avon;15202;259200;259200;345600;345600
AB;Calgary;T2H 2X7;370800;370800;234000;234000
OH;Mentor;44060;210600;335489;394200;468447
